Object ID,Name,Class,Parent,Centroid X µm,Centroid Y µm
27b3d6d9-f83b-49f7-90f8-d1de5d46c6c1,PathCellObject,,Tumor,460.52,9.836
6e6b6fa7-bf6d-4c3d-8715-7981798b4a7a,PathCellObject,,Tumor,682.6,9.387
23f91c56-d8ea-4ea5-8c29-98d00f78b904,Target: CD8,Target: CD8,Tumor,694.22,9.591
2380174d-d0e6-40cb-8c3a-63438b3e8521,Target: CD8,Target: CD8,Tumor,602.1,14.6
9025ca46-974a-48a0-90b8-1c7c4abaa1b4,PathCellObject,,Tumor,613.11,15.94
cbaeeac8-e2a6-495a-9828-a5242178d834,PathCellObject,,Tumor,698.54,21.49
d05132f1-3579-4807-b0b4-9d65c02d1073,Target: CD8,Target: CD8,Tumor,708.46,15.34
8f86b847-443c-412e-8f4a-f88498e03db2,Target: CD3: CD8,Target: CD3: CD8,Tumor,719.08,16.16
8a08b3f3-3984-4c55-9c4b-7761498d07a7,PathCellObject,,Tumor,675.78,19.34
972de1ff-0531-421d-ac6c-242d22ad6e41,Target: CD8,Target: CD8,Tumor,711.69,26.59
adeb99b8-258c-47c9-a753-a2245cc652a9,PathCellObject,,Tumor,612.96,24.24
8f999717-b2ee-426e-ade4-7d2b2fa65d76,Target: CD68,Target: CD68,Tumor,574.91,25.2
df76c972-dc46-424a-abe1-33e644c8c8cc,PathCellObject,,Tumor,689.31,26.09
d104f581-e35f-4b21-b19b-566d46246c37,PathCellObject,,Tumor,681.2,26.86
afefde2a-e6f5-4063-b8ae-40e48a9fad54,Target: CD8,Target: CD8,Tumor,614.65,31.84
1ee1eb11-1396-48fa-a06f-40a4b7007eae,Target: CD68: CD4: CD8,Target: CD68: CD4: CD8,Tumor,567.18,28.94
68390c29-fcaa-4ce6-91fe-4db6fba3ff72,Target: CD4: FoxP3,Target: CD4: FoxP3,Tumor,656.12,30.93
635dd8f6-3cd7-4de1-a6a7-626205be38f3,Target: CD68: CD8,Target: CD68: CD8,Tumor,720.56,32.98
f7d93d54-a641-402a-a8f3-29ba69106295,PathCellObject,,Tumor,693.4,31.37
2915ce07-bd96-4236-95ae-c7ac4ebeeb03,PathCellObject,,Tumor,668.08,33.09
7eafadae-485e-4075-a23b-979e74aa6a6c,Target: CD8,Target: CD8,Tumor,558.85,34.72
627bb62e-98e7-4ed2-95ea-ff6fa5f79f23,Target: CD8,Target: CD8,Tumor,574.04,34.27
4bc7a60b-b01f-4f97-b7b8-e692bf8e0dac,PathCellObject,,Tumor,698.25,35.39
02872664-bc73-4688-b00f-1fadbb19c51e,Target: CD68,Target: CD68,Tumor,508.96,35.7
84b0819f-8527-4a60-b588-5e25f129e72e,Target: CD8,Target: CD8,Tumor,677.03,35.86
241d1eac-a779-4b49-90e0-7e9b323d8be5,PathCellObject,,Tumor,686.12,37.37
317e2b71-fbd8-4c14-bf97-48847cf5d462,PathCellObject,,Tumor,569.48,40.82
57591fdc-4b79-4e89-a3a1-91fc1e0385df,Target: CD8,Target: CD8,Tumor,581.38,40.65
3e5cdb00-515d-450a-8bef-5ed584b344e9,PathCellObject,,Tumor,706.56,42.66
6a4512cc-3e4d-4b1e-b86c-6479ca4a4c7c,PathCellObject,,Tumor,520.65,43.06
7d42123b-e5e1-4a96-b11d-63d299715d61,Target: CD4,Target: CD4,Tumor,693.29,42.48
c268118e-ebb2-4721-9f13-05d83a18a3aa,Target: CD8,Target: CD8,Tumor,610.82,42.8
a9ec3bb7-d1d6-48e0-9013-58d1862f87c4,Target: CD3: CD8,Target: CD3: CD8,Tumor,659.66,41.82
9ea3995f-2223-41ff-9678-d9c91179d03b,Target: CD3: CD8,Target: CD3: CD8,Tumor,675.43,44.22
2953c333-e4e3-40b5-a3d1-e14fa7db3a91,PathCellObject,,Tumor,550.71,45.92
2707df20-2e2d-4640-bfd8-2b90f5e0d6b5,Target: CD8,Target: CD8,Tumor,714.7,46.81
146adda2-ee32-492a-97c9-a68ed24eea04,Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Tumor,754.29,45.59
d926c49f-2b7b-4502-b7ca-f1e0f0903019,Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Tumor,764.81,43.95
2a131b95-ace3-4434-89e5-1db00e6eb7d7,PathCellObject,,Tumor,699.63,49.37
5a57fa91-f7be-474a-a152-ca5737cbd4f2,PathCellObject,,Tumor,566.84,49.74
9ee39277-b7ff-40d7-94b6-ec8437265764,Target: CD3: CD8,Target: CD3: CD8,Tumor,664.78,49.92
8849e237-a1c9-482b-8bfc-d4887e9d7761,Target: CD8,Target: CD8,Tumor,430.02,48.27
097c62b0-df29-4754-ac9a-f3dc5b437b36,Target: CD4,Target: CD4,Tumor,688.12,49.99
43926942-a072-4963-ad35-f690d6a2c055,Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Tumor,769.83,54.52
5ef39482-ea4b-40ff-9c6c-14e72be35699,Target: CD68,Target: CD68,Tumor,758.45,55.8
eba17fb1-87fa-4592-8617-cd2917e69a43,Target: CD3: CD8,Target: CD3: CD8,Tumor,672.69,55.19
e0a067a6-20a6-47a7-ab29-679ae77fac0c,Target: CD68: CD8,Target: CD68: CD8,Tumor,483.19,57.59
5405aeb4-2bb8-428a-aba5-65d540b26e77,PathCellObject,,Tumor,429.01,58.23
57c70927-c617-4a37-80b0-b24230e3a1ec,PathCellObject,,Tumor,687.66,58.36
568af959-d927-4bf6-b3bf-9cb85ad51ad9,Target: CD68,Target: CD68,Tumor,315.22,59.16
4ab1718e-31fc-49d9-a4e0-31dc936b7af8,Target: CD8,Target: CD8,Tumor,416.98,58.25
aeb37fc5-1410-4ee1-92a1-49ff7c907763,Target: CD68,Target: CD68,Tumor,695.81,59.41
2887818a-82a0-4665-bd0a-7fc722297fd1,Target: CD68: CD3: CD4: CD8,Target: CD68: CD3: CD4: CD8,Tumor,746.71,60.22
142e3f70-e058-40bb-bb98-3cd00573c5ce,PathCellObject,,Tumor,571.31,59.58
dd3af0ed-5176-47f0-b862-0840d64c09cc,PathCellObject,,Tumor,585.58,61.9
94faeac5-e404-445d-9ae1-c1f43cc848f7,Target: CD68: CD8,Target: CD68: CD8,Tumor,634.83,63.56
f6532f33-3038-4ee3-a526-2c2497ba13ee,PathCellObject,,Tumor,681.49,61
cf89923e-b59a-498e-8561-981d49c5f970,Target: CD68,Target: CD68,Tumor,434.15,66.01
b1acd3c3-019d-4b64-b1af-3bc0c5024e4b,Target: FoxP3,Target: FoxP3,Tumor,667.2,64.14
14e457c9-8d87-409f-ae84-10397071dedb,Target: CD20: CD4: CD8,Target: CD20: CD4: CD8,Tumor,772.52,66.21
3f2aa762-a012-4be9-b148-43b9d84fb5eb,Target: CD68,Target: CD68,Tumor,471.65,64.23
92049cae-6a25-4998-978e-97b37f9c8843,Target: CD68: CD4,Target: CD68: CD4,Tumor,752.3,65.97
8db3f358-6185-44e2-81a4-3d8fffee3c7a,PathCellObject,,Tumor,571.31,69.18
c357a41a-1a68-4161-9849-4ffd6ee4690a,PathCellObject,,Tumor,677.86,68.17
f063a120-3489-4d18-92be-a79c66895b4f,PathCellObject,,Tumor,622.43,68.46
772f73d2-eb50-4e5e-b8db-64e9642e0f93,PathCellObject,,Tumor,684.04,75.18
0aa05f4a-6944-4fe2-8d65-abad0205d5b1,Target: CD68: CD4,Target: CD68: CD4,Tumor,610.14,71.47
af054359-0f57-44e0-a1ea-9710c3d04c67,Target: CD20: CD68,Target: CD20: CD68,Tumor,694.07,72.06
a01fb96e-9cfd-4ff1-b716-f62cbb4530ae,Target: CD68: CD4,Target: CD68: CD4,Tumor,755.34,72.05
10999f9a-fb17-48ed-9b6e-f9d578bdb391,Target: CD68: CD4,Target: CD68: CD4,Tumor,765.57,73.39
77ef6c5f-ffb4-4042-8742-433fd248ede7,PathCellObject,,Tumor,666.94,78.91
89dabd6e-3485-4a00-b40a-5fa6c7ef5f57,PathCellObject,,Tumor,675.77,75.27
c5ced7f8-df9a-456a-bb5f-b8acf373fb17,Target: CD68,Target: CD68,Tumor,432.52,77.58
6604fb7c-1ee8-4528-86e0-a7cb61f36228,Target: CD3: CD8,Target: CD3: CD8,Tumor,628.29,77.1
e427c32c-9022-4bd9-a6f7-ca85110cf683,Target: CD3: CD8,Target: CD3: CD8,Tumor,637.02,76.79
d244f591-2c57-4167-8436-f417e8424e33,Target: CD4,Target: CD4,Tumor,791.24,76.28
aef62aef-4c11-4ddd-800f-5a3e153e1360,Target: CD68: CD4,Target: CD68: CD4,Tumor,760.12,81.25
725b03e8-5400-4cff-9ebb-8d1fcd2ca3c5,Target: CD3: CD8,Target: CD3: CD8,Tumor,621.02,80.85
b977681e-ca3d-4b17-bcba-2dd46f6b3770,Target: CD8,Target: CD8,Tumor,16.96,83.06
e83cd5e1-b8b8-4e04-bed7-d9a584166e3a,Target: CD68,Target: CD68,Tumor,609.87,83.18
4323a784-84d5-449c-a223-bdecee8b295e,Target: CD68,Target: CD68,Tumor,395.34,83.84
11c6bdb3-ef44-4fe9-b281-4b137b177523,PathCellObject,,Tumor,618.96,89.51
5179734f-97f1-43f3-b723-aaa9ac609daf,PathCellObject,,Tumor,570.13,93.45
af5fcb58-9561-4ac6-9af0-52482503343b,PathCellObject,,Tumor,603.41,92
8c5cadfd-2640-4192-af2c-7f3c297e6afb,PathCellObject,,Tumor,680.9,88.57
cbaeeae2-1760-4d60-9ea2-9f98d664aed0,Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Tumor,768.11,89.2
79d90a98-371a-4080-be73-de6948c3945b,Target: CD8,Target: CD8,Tumor,688.46,92.78
66b5d74a-5eef-4937-8bd3-7911f386951b,PathCellObject,,Tumor,787.56,92.39
c74825a2-920b-44f6-b8f2-ca6ec23a2a97,PathCellObject,,Tumor,627.43,97.97
2dd7fcbb-e530-47a1-934d-83738d24a585,Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Tumor,767.14,97.41
12be3ad5-7fb8-429e-9c71-027840a8f97f,Target: CD68,Target: CD68,Tumor,381.77,98.31
2b0d0fda-1da9-4c1f-9571-ffb447291929,Target: CD68,Target: CD68,Tumor,370.24,100.64
76545800-6635-40f1-9672-e8928ad63798,PathCellObject,,Tumor,613.87,100.59
66df20a1-83d1-4c30-ad23-f06475b49697,PathCellObject,,Tumor,637.41,98.79
62ba0d5c-b958-4a6f-9b24-acefaa70cbff,Target: CD3: CD8,Target: CD3: CD8,Tumor,780.19,96.99
7fb834e2-5476-45ea-a407-da3b09c878b3,Target: CD68,Target: CD68,Tumor,792.6,99.68
0e0db80c-fbf2-4ca7-bf21-89e3cf62a4c2,Target: CD8,Target: CD8,Tumor,772.93,104.99
6641623a-1e81-40da-9d8d-13ef37dcde1d,Target: CD68,Target: CD68,Tumor,557.12,102.24
5714a0d4-aa0e-4424-8a7d-c6b3d028414b,Target: CD68,Target: CD68,Tumor,251.21,104.76
1956eb83-cc50-4983-863c-419149c4ebe9,Target: CD3: CD4,Target: CD3: CD4,Tumor,760.38,103.9
23cc5b76-b8f0-4e69-9b95-24d4c62da822,Target: CD8,Target: CD8,Tumor,781.87,105.75
b06883c1-c2c7-443f-acc8-a718fc45579b,PathCellObject,,Tumor,792.91,112.68
31a313fc-e2f9-4a64-8b43-a8da13669a75,Target: CD68,Target: CD68,Tumor,624.18,108.74
35e10d18-497c-40a4-966d-ab0948229401,Target: CD68: CD8,Target: CD68: CD8,Tumor,638.24,109.19
6eab1031-0010-4f39-99d5-822bf8316eb7,Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Tumor,763.96,113.14
2dea57b0-1909-41d5-98fc-d9289f53b727,Target: CD8: FoxP3,Target: CD8: FoxP3,Tumor,781.9,113.63
a5f742c6-8794-448c-912c-848878eddff3,Target: CD68,Target: CD68,Tumor,241.46,116.17
cdd5608e-167e-4b17-bb07-e762e5f6a6a7,Target: CD68,Target: CD68,Tumor,388.33,114.63
25b6dd7a-abad-4aaa-b669-2378c2c67b5c,Target: CD4,Target: CD4,Tumor,549.9,114.66
8d036947-c7d4-48bc-a258-dc555cb0ed8f,PathCellObject,,Tumor,575.53,115.58
2954700f-81c0-4573-a959-0c3b94150eee,Target: CD8,Target: CD8,Tumor,632.79,122.82
3b192ef5-12e3-4a38-ad38-3a1ef158c25c,PathCellObject,,Tumor,469.08,116.97
c9175dea-7ee1-4fa2-8e88-40b0bc077a57,Target: CD68,Target: CD68,Tumor,376.13,118.21
828fbd53-ab1f-4ec1-8f30-7e4cbca7a2c7,Target: CD8,Target: CD8,Tumor,609.59,115.14
9f86bc92-d330-4c8c-988b-4b667270bebb,PathCellObject,,Tumor,772.34,121.39
ca0514fe-b646-4095-ac7e-bf5c9cefe657,PathCellObject,,Tumor,566,117.56
1bc4fef6-912f-4ebf-9cd2-b0f25035fe96,PathCellObject,,Tumor,620.89,117.49
68b5e3fb-f0a2-41e1-ae96-d080631db591,Target: CD8,Target: CD8,Tumor,779.32,118.53
adcba892-4e47-4a4d-b7ae-12a0b6003288,Target: CD8,Target: CD8,Tumor,761.82,122.22
e1ace135-f90c-42e1-a656-5d3646ad122e,PathCellObject,,Tumor,595.4,120.22
04f7977d-7815-4590-8d9d-8cce6eb73a02,PathCellObject,,Tumor,603.88,120.88
c947147b-954b-4ad4-a2ff-7c13c73c680b,Target: CD20: CD4,Target: CD20: CD4,Tumor,548.4,123.8
