Name,Class,Parent,Centroid X µm,Centroid Y µm
PathCellObject,,Tumor,39.77,5.322
PathCellObject,,Tumor,343.62,6.241
PathCellObject,,Tumor,377.26,3.153
Target: CD3,Target: CD3,Tumor,393.95,4.163
PathCellObject,,Tumor,423.67,1.16
PathCellObject,,Tumor,499.55,3.829
PathCellObject,,Tumor,534.72,2.518
Target: CD68: CD4,Target: CD68: CD4,Tumor,649.3,3.857
Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Tumor,736.46,5.832
Target: CD8,Target: CD8,Tumor,55.2,5.079
Target: FoxP3,Target: FoxP3,Tumor,314.5,4.617
PathCellObject,,Tumor,383.7,5.207
Target: CD20,Target: CD20,Tumor,551.01,6.187
Target: CD3: CD4,Target: CD3: CD4,Tumor,747.21,6.211
PathCellObject,,Tumor,368.92,4.692
Target: CD68,Target: CD68,Tumor,453.57,4.881
Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Tumor,631.98,6.484
PathCellObject,,Tumor,29.72,5.527
PathCellObject,,Tumor,422.39,6.967
PathCellObject,,Tumor,543.01,6.221
PathCellObject,,Tumor,353.08,5.121
PathCellObject,,Tumor,405.51,7.147
Target: CD4,Target: CD4,Tumor,559.81,4.358
PathCellObject,,Tumor,327.41,6.574
PathCellObject,,Tumor,520.36,6.839
Target: CD68: CD4,Target: CD68: CD4,Tumor,334.17,5.497
PathCellObject,,Tumor,359.78,8.635
PathCellObject,,Tumor,155.73,10.27
PathCellObject,,Tumor,22.88,7.982
PathCellObject,,Tumor,13.42,10.46
PathCellObject,,Tumor,529.53,6.604
Target: CD68,Target: CD68,Tumor,176.4,8.548
PathCellObject,,Tumor,320.19,12.7
Target: CD68: CD3: CD4: CD8,Target: CD68: CD3: CD4: CD8,Tumor,690.77,10.53
PathCellObject,,Tumor,387.74,13.87
PathCellObject,,Tumor,536.41,13.88
PathCellObject,,Tumor,370.65,13.94
PathCellObject,,Tumor,482.03,12.28
PathCellObject,,Tumor,526.7,14.58
PathCellObject,,Tumor,565.02,12.23
Target: CD8,Target: CD8,Tumor,168.18,14.15
Target: CD68,Target: CD68,Tumor,337.75,16.03
PathCellObject,,Tumor,41.74,15.67
PathCellObject,,Tumor,416.39,16.42
Target: FoxP3,Target: FoxP3,Tumor,454.01,16.43
Target: CD20,Target: CD20,Tumor,504.82,13.61
Target: CD3,Target: CD3,Tumor,555.91,18.01
PathCellObject,,Tumor,26.66,19.01
PathCellObject,,Tumor,473.57,18.12
Target: CD3: CD4,Target: CD3: CD4,Tumor,547.72,21.08
Target: CD68: CD3,Target: CD68: CD3,Tumor,666.15,17.73
PathCellObject,,Tumor,328.21,18.18
Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Tumor,750.6,18.59
PathCellObject,,Tumor,433.3,21.47
PathCellObject,,Tumor,513.29,22.14
PathCellObject,,Tumor,55.34,19.9
Target: CD3: CD8,Target: CD3: CD8,Tumor,565.7,24.51
PathCellObject,,Tumor,372.27,23.33
PathCellObject,,Tumor,316.34,24.92
PathCellObject,,Tumor,363.15,21.82
PathCellObject,,Tumor,487.42,21.9
PathCellObject,,Tumor,4.067,22.06
PathCellObject,,Tumor,38.91,26.78
PathCellObject,,Tumor,398.96,21.85
PathCellObject,,Tumor,465.59,23.39
Target: CD3: CD4,Target: CD3: CD4,Tumor,649.42,22.95
PathCellObject,,Tumor,531.82,25.8
PathCellObject,,Tumor,576.78,23.02
PathCellObject,,Tumor,13.6,23.92
PathCellObject,,Tumor,329.64,25.44
