Name,Class,Parent,Centroid X µm,Centroid Y µm
Target: CD20,Target: CD20,Other,29.3,5.933
PathCellObject,,Other,42.06,5.401
Target: CD20,Target: CD20,Other,98.86,5.866
Target: CD20,Target: CD20,Other,106.64,3.426
PathCellObject,,Other,118.56,4.476
Target: CD8,Target: CD8,Other,141.47,3.229
Target: CD8,Target: CD8,Other,150.69,5.501
PathCellObject,,Other,182.08,6.096
PathCellObject,,Other,266.06,2.088
Target: CD68,Target: CD68,Other,279.74,6.964
PathCellObject,,Other,322.44,3.817
Target: CD3,Target: CD3,Other,401.44,3.954
Target: CD3: CD8,Target: CD3: CD8,Other,438.14,4.463
PathCellObject,,Other,463.22,5.442
PathCellObject,,Other,539.76,3.416
PathCellObject,,Other,553,4.108
PathCellObject,,Other,623.03,2.803
Target: CD3: CD4,Target: CD3: CD4,Other,727.89,4.292
PathCellObject,,Other,740.93,3.68
PathCellObject,,Other,759.79,2.888
Target: CD8,Target: CD8,Other,777.41,7.634
PathCellObject,,Other,256.79,5.244
Target: CD68,Target: CD68,Other,330.87,8.228
PathCellObject,,Other,226.91,10.22
PathCellObject,,Other,601.24,5.972
Target: CD8,Target: CD8,Other,88.33,5.728
PathCellObject,,Other,367.1,6.128
PathCellObject,,Other,496.29,6.08
PathCellObject,,Other,752.11,5.933
PathCellObject,,Other,131.43,3.578
PathCellObject,,Other,482.5,6.398
Target: CD3: CD8,Target: CD3: CD8,Other,424.29,9.048
PathCellObject,,Other,769.66,7.113
Target: CD8,Target: CD8,Other,136.19,8.925
PathCellObject,,Other,473.51,9.023
PathCellObject,,Other,268.01,10.79
PathCellObject,,Other,619.57,9.092
PathCellObject,,Other,611.49,7.8
PathCellObject,,Other,762.5,12.27
PathCellObject,,Other,393.67,12.12
PathCellObject,,Other,126.06,11.49
Target: CD3: CD8,Target: CD3: CD8,Other,142.62,12.04
PathCellObject,,Other,293.99,10.6
PathCellObject,,Other,314.85,12.12
PathCellObject,,Other,72.35,10.09
Target: CD3: CD8,Target: CD3: CD8,Other,432.7,12.33
PathCellObject,,Other,535.22,12.21
PathCellObject,,Other,740.3,13.37
PathCellObject,,Other,605.85,17.36
Target: CD3: CD4,Target: CD3: CD4,Other,729.36,12.49
PathCellObject,,Other,255.43,15.65
Target: CD20,Target: CD20,Other,200.45,13.55
Target: CD20,Target: CD20,Other,189.37,14.27
Target: CD3: FoxP3,Target: CD3: FoxP3,Other,377.4,16.64
PathCellObject,,Other,91.6,16.45
PathCellObject,,Other,302.59,20.21
PathCellObject,,Other,67.64,17.35
PathCellObject,,Other,149.01,21.32
PathCellObject,,Other,82.45,14.81
PathCellObject,,Other,212.65,16.34
Target: CD3: CD8,Target: CD3: CD8,Other,451.44,15.51
Target: CD3,Target: CD3,Other,721.95,22.69
Target: CD8,Target: CD8,Other,134.35,19.1
PathCellObject,,Other,276.89,18.46
Target: CD68: CD3: CD8,Target: CD68: CD3: CD8,Other,414.8,16.63
Target: CD3: CD8,Target: CD3: CD8,Other,440.11,16.98
PathCellObject,,Other,617.43,18.53
PathCellObject,,Other,263.05,25.67
PathCellObject,,Other,472.62,19.99
Target: CD3: CD8,Target: CD3: CD8,Other,487.58,18.02
PathCellObject,,Other,246.68,20.58
PathCellObject,,Other,185.57,23.84
Target: CD68,Target: CD68,Other,312.98,22.63
Target: CD68: CD3: CD8,Target: CD68: CD3: CD8,Other,461.18,23.66
Target: CD68,Target: CD68,Other,406,23.37
PathCellObject,,Other,587.77,22.95
Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Other,388.88,23.8
Target: CD68: CD3: CD4: CD8,Target: CD68: CD3: CD4: CD8,Other,396.88,24.38
Target: CD3: CD8,Target: CD3: CD8,Other,495.76,22.77
PathCellObject,,Other,82.68,26.07
PathCellObject,,Other,104.52,22.13
Target: CD20,Target: CD20,Other,199.45,24.11
PathCellObject,,Other,271.48,25.75
Target: CD3: CD8,Target: CD3: CD8,Other,367.75,29.48
PathCellObject,,Other,122.11,22.34
PathCellObject,,Other,217.58,25.55
Target: CD20,Target: CD20,Other,239.53,24.82
PathCellObject,,Other,131.52,26.02
Target: CD3: CD8,Target: CD3: CD8,Other,450.87,26.55
Target: CD20: CD68,Target: CD20: CD68,Other,57.68,26.06
PathCellObject,,Other,94.95,26.22
PathCellObject,,Other,207.98,26.77
Target: CD68,Target: CD68,Other,323.51,26.99
Target: CD3: CD8,Target: CD3: CD8,Other,487.05,28.06
Target: CD68: CD3: CD8,Target: CD68: CD3: CD8,Other,417.31,26.93
Target: CD20,Target: CD20,Other,65.93,25.46
Target: CD68: CD8,Target: CD68: CD8,Other,425.46,27.14
Target: CD3: CD8,Target: CD3: CD8,Other,441.77,27.2
PathCellObject,,Other,255.9,32.43
PathCellObject,,Other,120.19,31.75
Target: CD20,Target: CD20,Other,232.32,30.93
Target: CD68: CD8,Target: CD68: CD8,Other,433.81,28.7
PathCellObject,,Other,143.39,33
Target: CD8,Target: CD8,Other,192.37,33.43
Target: CD3: CD4,Target: CD3: CD4,Other,474.04,31.41
Target: CD8,Target: CD8,Other,387.63,32.2
Target: CD20,Target: CD20,Other,102.7,33.87
PathCellObject,,Other,308.28,33.26
Target: CD68,Target: CD68,Other,411.11,33.6
Target: CD20: CD68,Target: CD20: CD68,Other,70.1,32.51
PathCellObject,,Other,131.74,34.67
Target: CD3: CD8,Target: CD3: CD8,Other,213.98,34.52
Target: CD3: CD8,Target: CD3: CD8,Other,247.33,32.95
PathCellObject,,Other,342.57,33.37
Target: CD8,Target: CD8,Other,398.22,35.88
Target: CD20,Target: CD20,Other,40.98,32.88
Target: CD3: CD8,Target: CD3: CD8,Other,441.17,34.3
PathCellObject,,Other,630.81,33.62
PathCellObject,,Other,785.78,33.71
Target: CD20,Target: CD20,Other,30.41,33.92
PathCellObject,,Other,203.86,36.67
PathCellObject,,Other,524.08,33.94
Target: CD20: CD4,Target: CD20: CD4,Other,540.32,35.09
PathCellObject,,Other,324.18,36.92
PathCellObject,,Other,381.52,38.23
Target: CD68: CD8,Target: CD68: CD8,Other,421.79,37.74
Target: CD68: CD3: CD8,Target: CD68: CD3: CD8,Other,447.71,36.29
Target: CD8,Target: CD8,Other,432.03,36.77
PathCellObject,,Other,676.59,39.32
Target: CD20: CD3: CD8,Target: CD20: CD3: CD8,Other,224.55,40.31
Target: CD20,Target: CD20,Other,586.09,38.92
PathCellObject,,Other,600.35,36.88
Target: CD8,Target: CD8,Other,728.3,38.6
Target: CD20: CD68,Target: CD20: CD68,Other,63.39,38.67
PathCellObject,,Other,120.18,42.96
PathCellObject,,Other,440.04,44.15
Target: CD3: CD8,Target: CD3: CD8,Other,455.39,39.29
Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Other,469.63,40.17
PathCellObject,,Other,243.53,41.34
Target: CD3,Target: CD3,Other,235.34,41.04
Target: CD8,Target: CD8,Other,251.84,43.02
Target: CD68,Target: CD68,Other,404.92,41.19
Target: CD20,Target: CD20,Other,32.19,43.17
PathCellObject,,Other,94.97,42.38
Target: CD8,Target: CD8,Other,315.96,43.42
PathCellObject,,Other,508.68,43.08
PathCellObject,,Other,188.76,42.99
Target: CD20: CD3: CD8,Target: CD20: CD3: CD8,Other,525.74,44.24
Target: CD3: CD8,Target: CD3: CD8,Other,199.77,43.72
Target: CD3: CD8,Target: CD3: CD8,Other,487.44,42.49
Target: CD8,Target: CD8,Other,633.16,43.69
Target: CD20: CD68,Target: CD20: CD68,Other,76.13,43.97
Target: CD3: CD4: FoxP3,Target: CD3: CD4: FoxP3,Other,213,42.74
PathCellObject,,Other,594.87,46.29
Target: CD20,Target: CD20,Other,45.87,45.26
Target: CD20: CD68,Target: CD20: CD68,Other,56.17,44.04
PathCellObject,,Other,360.69,45.86
Target: CD68,Target: CD68,Other,415.96,44.64
PathCellObject,,Other,430.82,44.36
Target: CD8,Target: CD8,Other,622.69,42.29
PathCellObject,,Other,789.52,45.06
PathCellObject,,Other,15.11,44.01
Target: CD8,Target: CD8,Other,134.35,46.88
PathCellObject,,Other,391.39,46.57
Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Other,451.4,46.04
Target: CD20: CD4: CD8,Target: CD20: CD4: CD8,Other,537.53,45.88
PathCellObject,,Other,606.51,45.53
Target: CD68: CD4: CD8,Target: CD68: CD4: CD8,Other,259.94,45.16
PathCellObject,,Other,375.28,48.75
PathCellObject,,Other,159.97,49.53
Target: CD3: CD4,Target: CD3: CD4,Other,239.67,47.41
PathCellObject,,Other,345.05,45.8
PathCellObject,,Other,665,48.57
Target: CD8,Target: CD8,Other,405.42,49.61
Target: CD3: CD4: FoxP3,Target: CD3: CD4: FoxP3,Other,212.71,48.03
Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Other,468.05,47.53
PathCellObject,,Other,563.78,46.97
PathCellObject,,Other,617.12,55.35
PathCellObject,,Other,716.6,51.52
Target: CD20: CD68,Target: CD20: CD68,Other,23.45,47.69
Target: CD68,Target: CD68,Other,67.14,51.17
PathCellObject,,Other,230.9,48.54
PathCellObject,,Other,725.44,49.33
Target: CD20,Target: CD20,Other,797.16,50.04
PathCellObject,,Other,352.18,52.17
PathCellObject,,Other,549.28,48.24
Target: CD68,Target: CD68,Other,425.09,51.27
Target: CD3: CD8,Target: CD3: CD8,Other,514.26,49.49
Target: CD8,Target: CD8,Other,221.93,53.75
Target: CD8,Target: CD8,Other,384.29,50.71
Target: CD8,Target: CD8,Other,632.22,51.02
PathCellObject,,Other,148.91,51.89
PathCellObject,,Other,541.91,52.35
PathCellObject,,Other,449.7,51.9
Target: CD3: CD4,Target: CD3: CD4,Other,557.25,50.34
Target: CD20: CD68,Target: CD20: CD68,Other,31.99,51.24
PathCellObject,,Other,169.16,53.23
PathCellObject,,Other,198.16,54.13
Target: CD68: CD3,Target: CD68: CD3,Other,209.1,53.26
Target: CD3: CD4,Target: CD3: CD4,Other,235.69,52.47
Target: CD20: CD3: CD4: CD8,Target: CD20: CD3: CD4: CD8,Other,527.38,53.37
Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Other,484.08,52.62
Target: CD20: CD68: CD4,Target: CD20: CD68: CD4,Other,19.71,54.87
Target: CD68: CD4,Target: CD68: CD4,Other,247.79,52.99
PathCellObject,,Other,256.35,52.74
PathCellObject,,Other,273.79,59.13
PathCellObject,,Other,299.61,56.48
Target: CD3: CD8,Target: CD3: CD8,Other,463.14,52.96
Target: CD20: CD3: CD4: CD8,Target: CD20: CD3: CD4: CD8,Other,517.84,53.64
Target: CD20,Target: CD20,Other,86.4,53.28
Target: CD20,Target: CD20,Other,320.72,55.74
PathCellObject,,Other,341.34,56.23
Target: CD8,Target: CD8,Other,76.31,54.15
PathCellObject,,Other,264.96,57.06
PathCellObject,,Other,442.86,56.23
Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Other,477.24,52.82
PathCellObject,,Other,605.68,55.35
